OBJECTID,Have_you_been_interviewed_about_shark_bite_offs_before,How_many_times_have_you_fished_from_this_boat_ramp_before,How_many_days_have_you_fished_from_a_boat_this_year,How_many_years_have_you_been_fishing_for,Home_postcode,What_is_your_income_before_tax,Guid,GlobalID,CreationDate,Creator,EditDate,Editor,# times fished from boat in last 12 months?,# times doing NEX last 12 months??,# years fishing?,# years doing NEX?,"Are you a diver? If so, what is your certification?","If DIVING, # dives?",What year were you born?,Home postcode,"If VISITOR, where are you staying?","If OTHER, where are you staying",FINISH SURVEY ,Male or Female,Describe party,Boat length,Boat Type ,Boat name or number
397,,,,,,,ef8838ed-6e5c-4d9f-9ed3-dace2cd942c9,ba4b75e0-2beb-4294-98c5-742381766e9a,3/30/2021 8:53:16 AM,Harrison.Carmody_UWA,3/30/2021 8:53:16 AM,Harrison.Carmody_UWA,,,,,AOW,30,1984,,,,,Female,2f,,,
398,,,,,,,00d47dd6-6908-4966-a336-c82dfc72ab88,c54e910f-458b-4ebb-84dd-7afc414daef2,3/31/2021 3:06:15 AM,Harrison.Carmody_UWA,3/31/2021 3:06:15 AM,Harrison.Carmody_UWA,Shore every week when had boat but now maybe once a month,Holiday,50,,OW,,1963,6030,ExmouthEscape,,,Male,Couple,,,
399,,,,,,,7a75b484-e6b7-4f62-9e39-9646817de33c,a2254ada-73ee-4830-93b9-dbd0a534d91a,4/2/2021 1:13:46 AM,Harrison.Carmody_UWA,4/2/2021 1:13:46 AM,Harrison.Carmody_UWA,,,,Most of life,,,2002,Perth,Exmouth,,,Female,"Three young women, one underage ",,,
400,,,,,,,1fca5e24-c126-4f52-bc74-49697adaa7ae,c7ebb19b-4bcc-4deb-bc86-a5bd69bc5ec7,4/2/2021 1:16:07 AM,Harrison.Carmody_UWA,4/2/2021 1:16:07 AM,Harrison.Carmody_UWA,,,,Most of life,,,2002,Perth,Exmouth,,,Female,Three girls one underage,,,
401,,,,,,,7bd8f586-de63-4647-9876-7a289adeda58,32d1d85b-4c0e-4a02-8f75-c3a931b7aa0d,4/2/2021 1:33:40 AM,Harrison.Carmody_UWA,4/2/2021 1:33:40 AM,Harrison.Carmody_UWA,"3 times per month, squidding",3 times week,,Life,,,1975,Ex,,,,Female,Mum and kids,,,
402,,,,,,,74965a86-5e1b-45ac-81e8-47d8984c8a54,d17dfaa6-2c41-401a-803c-496890a4f876,4/2/2021 2:06:08 AM,Harrison.Carmody_UWA,4/2/2021 2:06:08 AM,Harrison.Carmody_UWA,0,Every 6 months,Life,Life,,,1994,Perth,Exmouth,,,Female,A couple,,,
403,,,,,,,24f45b13-58ef-429e-8a17-eead582021c1,760d3ea1-1968-4615-917f-f1c66f1002d5,4/2/2021 2:09:46 AM,Harrison.Carmody_UWA,4/2/2021 2:09:46 AM,Harrison.Carmody_UWA,0,Twice,Life,Life,,,1992,Perth,Exmouth,,,Male,A couple,,,
404,,,,,,,496d077c-d0f8-4dd0-b412-a9f122f7dd28,af6de154-8d52-45e5-b77d-3d4b7f60e63d,4/2/2021 2:25:08 AM,Harrison.Carmody_UWA,4/2/2021 2:25:08 AM,Harrison.Carmody_UWA,2,4,Life,Life,,,1994,Port headlands,,,,,Group of mates,,,
405,,,,,,,0495db91-6d5b-4b9f-9924-f15aeee3af6c,4fb0876b-1dd6-4ae7-9981-98d749ac1e54,4/2/2021 2:29:01 AM,Harrison.Carmody_UWA,4/2/2021 2:29:01 AM,Harrison.Carmody_UWA,2,Monthly,5,5,,,1986,Perth,Exmouth,,,Male,Bunch of mates,,,
406,,,,,,,3df27a00-c81f-4cca-9988-dc07b65df9c7,63271b32-7c7f-4f8d-859e-98d6614cddd3,4/2/2021 2:50:43 AM,Harrison.Carmody_UWA,4/2/2021 2:50:43 AM,Harrison.Carmody_UWA,20 plus,4 times a week,Life,Life,AOW,100,1980,Perth,Exmouth,,,Male,Alone,,,
407,,,,,,,3619f5e0-4b8e-4a6d-b96d-11e3ea5b37e7,fc07109e-4689-4ccd-9b38-71ada6e1f199,4/2/2021 3:10:21 AM,Harrison.Carmody_UWA,4/2/2021 3:10:21 AM,Harrison.Carmody_UWA,,Fortnight,,Life,,,1989,Maratha,Exmouth,,,Female,Mum and kids and friends ,,,
408,,,,,,,7c5b5d52-6579-4112-8802-1b5fff1a3af9,92075ab7-7391-4059-ad96-33bfc30ce90d,4/2/2021 3:14:52 AM,Harrison.Carmody_UWA,4/2/2021 3:14:52 AM,Harrison.Carmody_UWA,4,Weekly,Life,Life,,,1997,Karatha,Exmouth,,,Male,Mates,,,
409,,,,,,,405878fc-6bb1-4a63-8cd2-97b7557b239b,9ffeff33-5227-4a8d-ae13-110b3b3d55ff,4/2/2021 3:17:25 AM,Harrison.Carmody_UWA,4/2/2021 3:17:25 AM,Harrison.Carmody_UWA,0,One or twice weekly,0,Life,,,1996,Karatha,Exmouth,,,Female,Three mates and som kids,,,
410,,,,,,,085a603a-9c42-40ce-9ca1-7df18d7a5ac8,e40399c0-8d4c-40f3-b1d8-074f5ce0d163,4/2/2021 3:22:50 AM,Harrison.Carmody_UWA,4/2/2021 3:22:50 AM,Harrison.Carmody_UWA,Weekly,Every day,55,Life,,,1945,Ex,,,,Male, An and dog,,,
411,,,,,,,bbf44b9f-2a3f-4195-90b6-700305e3dfc8,4bdd3b62-8de6-45ad-af0f-7849f685a3d2,4/2/2021 7:58:51 AM,Harrison.Carmody_UWA,4/2/2021 7:58:51 AM,Harrison.Carmody_UWA,Fortnightly,"Lots, daily",.5,10,AOW,25,1997,Ex,,,,Male,Couple,,,
412,,,,,,,6bf1a323-7bbc-4324-8f83-0f9e1b780159,c8e62878-0b3c-4262-a6a9-41c90d88bfb1,4/2/2021 8:01:26 AM,Harrison.Carmody_UWA,4/2/2021 8:01:26 AM,Harrison.Carmody_UWA,Fortnight,All days,.5,Life,,,1999,Ex,,,,Female,Couple,,,
413,,,,,,,4664d486-6a60-4065-ac29-a5ac5182cd9e,c526d54d-10f8-406e-87f3-f14f98aa7fe6,4/2/2021 8:07:38 AM,Harrison.Carmody_UWA,4/2/2021 8:07:38 AM,Harrison.Carmody_UWA,,,25,Life,,,1976,Karatha,Exmouth,,,Female,Couple,,,
414,,,,,,,35fe9b64-a61a-4bec-ab36-d6a2452fccd9,e607d1aa-f60a-42bc-b56d-e6be437c802c,4/2/2021 8:10:11 AM,Harrison.Carmody_UWA,4/2/2021 8:10:11 AM,Harrison.Carmody_UWA,0,,0,Life,OW,10,1977,Karatha,Exmouth,,,Male,Couple,,,
415,,,,,,,edd3cc07-bb40-4f58-a4f7-62c0f4309ecf,68b0bafc-956d-4bad-b3a2-1f05ece76250,4/2/2021 8:17:13 AM,Harrison.Carmody_UWA,4/2/2021 8:17:13 AM,Harrison.Carmody_UWA,Couple of months,Weekends,Life,Life,,,1984,Karatha,Exmouth,,,Female,"Kid, mum and grandad",,,
416,,,,,,,5ea22d9a-70bc-4911-8446-e82794ccba02,1952d5d0-f256-4a73-b784-462f33a91749,4/2/2021 8:20:04 AM,Harrison.Carmody_UWA,4/2/2021 8:20:04 AM,Harrison.Carmody_UWA,Twice yearly,Weekends,Life,Life,,,1957,Perth,,,,Male,"Kid, mum and grandad",,,
417,,,,,,,5c025e96-daff-4120-8e7c-77d7119280a4,4b686836-3ebe-4334-ac55-a7713daab9e5,4/2/2021 8:25:55 AM,Harrison.Carmody_UWA,4/2/2021 8:25:55 AM,Harrison.Carmody_UWA,,40,,"Holidays, life",,,1962,Melbourne,Exmouth,,,Female,Couple,,,
418,,,,,,,e8cc89d7-e384-494c-9d17-1392469366a4,acb44e89-0772-4980-9876-2596c3d216b5,4/2/2021 8:29:17 AM,Harrison.Carmody_UWA,4/2/2021 8:29:17 AM,Harrison.Carmody_UWA,,"Lots on holiday, for nightly average",,Life,,,1948,Melbourne,Exmouth,,,Male,Couple,,,
419,,,,,,,49d393c2-7588-4d12-8b86-0edb4efaaf51,9dc178cb-d6ba-4713-be2e-9e8e033cf92c,4/2/2021 8:42:21 AM,Harrison.Carmody_UWA,4/2/2021 8:42:21 AM,Harrison.Carmody_UWA,Fortnightly,Couple weekly,20,30,,,1988,Mandura,,,,Male,4 mates,,,
420,,,,,,,1a2f698e-fe5b-47a1-80b3-40c11226def3,015dac86-ac3a-442b-8a7c-b38a242a624f,4/2/2021 8:49:29 AM,Harrison.Carmody_UWA,4/2/2021 8:49:29 AM,Harrison.Carmody_UWA,Fortnightly,Daily,5,Life,Instructor,400,1993,Ex,,,,Female,,,,
421,,,,,,,0b1ea430-22fd-48ce-be4e-e825e5c32c69,82038e19-52c4-4a0b-aff2-b25a490e3d71,4/2/2021 8:51:27 AM,Harrison.Carmody_UWA,4/2/2021 8:51:27 AM,Harrison.Carmody_UWA,Fortnightly,Daily,5,Life,OW,25,1993,Ex,,,,Male,,,,
422,,,,,,,5d070d2f-eb5a-467d-855f-7765b04e8d22,94ec8347-9129-461b-8cf7-403a418ebb2c,4/2/2021 8:55:55 AM,Harrison.Carmody_UWA,4/2/2021 8:55:55 AM,Harrison.Carmody_UWA,,Daily,-,Life,,,1993,Mandura,Exmouth,,,Female,4 mates,,,
423,,,,,,,6f7e8985-af46-45c3-85cb-8492df41964f,106085b4-b4da-4384-bd61-49ce3610f689,4/2/2021 9:23:55 AM,Harrison.Carmody_UWA,4/2/2021 9:23:55 AM,Harrison.Carmody_UWA,0,Twice week ,,1,,,1987,Ex,,,,Female,,,,
424,,,,,,,ca8cdaab-306e-474d-bae7-34d8e9389bba,6764420c-f4a6-4c07-a8f8-007adcf9532f,4/2/2021 9:31:10 AM,Harrison.Carmody_UWA,4/2/2021 9:31:10 AM,Harrison.Carmody_UWA,,Weekly,-,12,Rescue,400,1974,6163,Exmouth,,,Female,Lady alone,,,
425,,,,,,,7edaa805-df3d-4d88-9429-6fdbf4f255e1,a4832a72-0b44-46ae-a874-b26a1a0d3d6b,4/2/2021 9:41:44 AM,Harrison.Carmody_UWA,4/2/2021 9:41:44 AM,Harrison.Carmody_UWA,Weekly,6 weekly,10,10,,,1997,Ex,,,,Male,Couple ,,,
426,,,,,,,d988b93c-49ca-4525-b8ff-10ffa895d759,79ca8983-158c-4180-8c82-b329dbacf6c2,4/2/2021 9:47:43 AM,Harrison.Carmody_UWA,4/2/2021 9:47:43 AM,Harrison.Carmody_UWA,Monthly, OST days,10,Life,,,1999,Ex,,,,Female,Couple,,,
427,,,,,,,9bbe6e1f-7f92-4050-a662-30d55e22ad85,926a55fa-ff69-43ea-a09f-9b4465bbb378,4/4/2021 2:47:17 AM,Harrison.Carmody_UWA,4/4/2021 2:47:17 AM,Harrison.Carmody_UWA,2 month,,Life,,None,,1965,6155,Potshot,,,,,,,
428,,,,,,,7e1be48e-9263-4669-8bed-57e64bc20b25,77248abe-4c86-4642-8419-1adae054d976,4/4/2021 3:42:13 AM,Harrison.Carmody_UWA,4/4/2021 3:42:13 AM,Harrison.Carmody_UWA,No,,,,AOW,,1964,6169,TulkiCamp,,,Male,Couple 2 kids,2,A,
429,,,,,,,41159f1c-5c79-4064-8534-4be226492f6d,4f698dd2-fac7-430f-a672-f3ba10a80b3a,4/5/2021 2:53:00 AM,Harrison.Carmody_UWA,4/5/2021 2:53:00 AM,Harrison.Carmody_UWA,2 month,,2,,DM,,1991,Exmouth,,,,Male,Couple,,,
430,,,,,,,a6e92b81-9f37-4707-94b4-74bece7289d6,b657b53c-2667-47e9-859d-42d77792140d,4/5/2021 2:55:53 AM,Harrison.Carmody_UWA,4/5/2021 2:55:53 AM,Harrison.Carmody_UWA,2 month,,2,,DM,,1991,,,,,Male,Couple,,,
431,,,,,,,c9baf286-e129-402b-9250-ea73219708d6,eb7f9b24-1857-468d-a7a7-146bd8671977,4/5/2021 3:21:40 AM,Harrison.Carmody_UWA,4/5/2021 3:21:40 AM,Harrison.Carmody_UWA,Ow. A charter so go when chartering,,20,,Rescue,Not much any more,1984,,,,Aquatic adventures exmouth,Male,Couple and kid,,,
432,,,,,,,e0e50de7-0f14-49e1-8c6d-0728119e18ca,5575e8b8-667b-4f97-ada8-c90ac66f9202,4/5/2021 3:32:10 AM,Harrison.Carmody_UWA,4/5/2021 3:32:10 AM,Harrison.Carmody_UWA,,,,,,,1975,6281,YardieHomestead,,,Female,Mum and 2 kids,,,
433,,,,,,,4487d514-e9a0-4f44-87f2-ffd780cefc71,71fc7cff-44cd-42e3-99cc-7f455a1d01a1,4/5/2021 3:37:04 AM,Harrison.Carmody_UWA,4/5/2021 3:37:04 AM,Harrison.Carmody_UWA,,,,,,,1963,6173,OspreyHolVillage ,,,Male,2 couples 3 kids,,,
434,,,,,,,300ea7a2-214b-436e-a778-6abfbb9b5ba9,8e808e79-1826-4e43-ae57-ff7aad668b03,4/5/2021 3:42:38 AM,Harrison.Carmody_UWA,4/5/2021 3:42:38 AM,Harrison.Carmody_UWA,1 week,,Life,,None,,1982,6210,RACHolPark ,,,Female,"2 couples, 2 kids",,,
435,,,,,,,c2036cc5-8e7e-48d8-ba2a-ea21b104ce88,876f37fa-6abf-4e6e-a282-c7b03031d949,4/5/2021 6:45:12 AM,Harrison.Carmody_UWA,4/5/2021 6:45:12 AM,Harrison.Carmody_UWA,2 mo th,,Life,,None,,1972,6026,Exmouth,,,Male,2 couples,,,
436,,,,,,,cc4a444f-9544-4804-83f7-7e5242707d84,67bddb98-5906-4b7f-a69e-66f2fba369fc,4/5/2021 6:51:05 AM,Harrison.Carmody_UWA,4/5/2021 6:51:05 AM,Harrison.Carmody_UWA,2 month,,Life,,Rescue,,1989,Exmouth,,,,Male,4 m,7,G,Dv791
437,,,,,,,7e96798a-88ae-481a-804c-1f3c1a01caa5,92f3e3ed-8bde-4513-9284-c1c5aea7e248,4/5/2021 7:08:22 AM,Harrison.Carmody_UWA,4/5/2021 7:08:22 AM,Harrison.Carmody_UWA,5week,,3 years,,None,,1995,Exmouth,Exmouth,,,Female,Couple,3,C,
438,,,,,,,a80be50b-9446-435d-a3f4-5733b875ada6,773dc71a-120f-4032-ac54-513801b911e5,4/5/2021 7:19:23 AM,Harrison.Carmody_UWA,4/5/2021 7:19:23 AM,Harrison.Carmody_UWA,1week,,Life,,AOW,,1975,6174,Exmouth,,,Male,2 m 2 kids,7,G,Bd802
439,,,,,,,5df3ed86-8c01-4c99-9081-2b2d441452a4,ff7254ec-d743-4604-80e4-91a1cacfca32,4/5/2021 7:36:25 AM,Harrison.Carmody_UWA,4/5/2021 7:36:25 AM,Harrison.Carmody_UWA,9/month,,2,,None,,1993,Exmouth,,,,Male,2couples,4,E,Br113
440,,,,,,,3a480c1f-9e52-4a66-9570-a4959d2df318,dec34fbf-f8cb-480a-8976-46787903971d,4/5/2021 7:46:23 AM,Harrison.Carmody_UWA,4/5/2021 7:46:23 AM,Harrison.Carmody_UWA,10 plus ,,8,,None,,1975,6210,Exmouth,,,Female,Couple,5,F,
441,,,,,,,6f1f590f-6c24-4d45-91e9-748cf5a5eca8,15578315-f82e-44e1-8faf-e7d3d19f2f6c,4/5/2021 7:57:16 AM,Harrison.Carmody_UWA,4/5/2021 7:57:16 AM,Harrison.Carmody_UWA,5 month,,Life,,None,,1986,Exmouth,,,,Male,2m,5,E,60259
442,,,,,,,598a0282-4ad4-4ff4-b013-e324df87a170,57ea9812-33d5-4c79-a19f-8e6ad56c79cd,4/5/2021 8:25:44 AM,Harrison.Carmody_UWA,4/5/2021 8:25:44 AM,Harrison.Carmody_UWA,,,,,,,1973,Exmouth,,,,Female,4couples and many kids ,8,G,Gj044
443,,,,,,,2c7f1c2d-47c0-4107-8935-4979824d0657,9bcd3f70-df46-4756-81bf-daa928421672,4/5/2021 8:32:24 AM,Harrison.Carmody_UWA,4/5/2021 8:32:24 AM,Harrison.Carmody_UWA,26 month,,Life,,None,,1997,,,,,Male,2 couples,6,F,Fatal attraction
444,,,,,,,9f0f7033-07ae-4a01-a439-19faa38b2e79,7e1f5576-dfc4-458c-b3c4-e7f923c4231c,4/5/2021 8:51:37 AM,Harrison.Carmody_UWA,4/5/2021 8:51:37 AM,Harrison.Carmody_UWA,Holiday hobby,,30,,,,1972,6516,YardieHomestead,,,Male,Couple and 1 kid,4,F,
445,,,,,,,4eb4da1c-a68e-489c-aa94-84ae801b72e6,63f35490-fd73-47eb-8ea9-5d9b34d275ab,4/5/2021 9:00:39 AM,Harrison.Carmody_UWA,4/5/2021 9:00:39 AM,Harrison.Carmody_UWA,3 month,,Life,,,,1976,6053,YardieHomestead,,,Male,"2m, 2 kids",5,F,Dv259
446,,,,,,,7ecf3f45-8f27-43a3-91ae-c69806841767,42c0faa7-c869-44d8-bfdb-ea0f6b7820de,4/5/2021 9:14:33 AM,Harrison.Carmody_UWA,4/5/2021 9:14:33 AM,Harrison.Carmody_UWA,1 month,,Life,,None,,1979,6030,Exmouth,,,Female,Couple,3,C,En349
447,,,,,,,49c16ec8-c4f2-4609-81f3-c7cf7d0ab33a,909ed662-770d-416b-84e3-4ec9bf18a705,4/6/2021 3:09:25 AM,Harrison.Carmody_UWA,4/6/2021 3:09:25 AM,Harrison.Carmody_UWA,Monthly,Fortnightly,20,20,OW,,1977,Geraldton,Exmouth,,,Male,With mates,,,
448,,,,,,,74f3616d-78be-43c8-97af-78e53cd3e765,7ee04cdc-85a2-46d5-a63e-5ee7ae931ad9,4/6/2021 3:21:59 AM,Harrison.Carmody_UWA,4/6/2021 3:21:59 AM,Harrison.Carmody_UWA,,2,,Life,,,1971,Singleton,Exmouth,,,Male,Couple ,,,
449,,,,,,,8201e911-cd32-4d18-8d80-697b23ec4611,1fda9bf3-43a5-41bd-bf9a-b4f6cb268b21,4/6/2021 3:28:39 AM,Harrison.Carmody_UWA,4/6/2021 3:28:39 AM,Harrison.Carmody_UWA,Month,Weekly,2,Life,AOW,40,1994,Travelers,OspreyCamp,But moving aroun,,Male,Couple,,,
450,,,,,,,cf704164-2fcd-42ad-8d5e-7a265bcad8ba,491b18d0-148a-4d3c-903c-88c5c7661770,4/6/2021 3:31:44 AM,Harrison.Carmody_UWA,4/6/2021 3:31:44 AM,Harrison.Carmody_UWA,,Weekly,,Life,OW,6,1994,Travelers,OspreyCamp,But moving aroun,,Female,Couple,,,
451,,,,,,,bce2d8f3-4056-4a24-bb15-22e43833969d,ce191b88-232c-4f50-b0b2-760cf29191b9,4/6/2021 3:36:24 AM,Harrison.Carmody_UWA,4/6/2021 3:36:24 AM,Harrison.Carmody_UWA,0,Couple per year,0,20,,,1971,Mandura,Exmouth,,,Female,Couple,,,
452,,,,,,,cd828f97-9047-4b0c-8a80-fdda004d7a9f,196bbc36-aa59-48f1-b448-f246a4a8e465,4/6/2021 3:46:44 AM,Harrison.Carmody_UWA,4/6/2021 3:46:44 AM,Harrison.Carmody_UWA,0,2,,On and off,,,1979,Golden bay ,Exmouth,,,Male,Family,,,
453,,,,,,,651589bf-a4f7-4a79-b9d8-a1c39ddd2705,ac6af7ac-4e16-4daa-bcb9-17433eb4e935,4/6/2021 4:14:50 AM,Harrison.Carmody_UWA,4/6/2021 4:14:50 AM,Harrison.Carmody_UWA,0,All weekends,0,10,OW,20,1988,Bonds beach,Exmouth,,,Male,Family,,,
454,,,,,,,18279852-7afd-48d4-baf8-e5074c91bef1,858b5b17-8d47-4a7a-8b17-3488554b058c,4/6/2021 4:17:30 AM,Harrison.Carmody_UWA,4/6/2021 4:17:30 AM,Harrison.Carmody_UWA,0,Weekends,0,Life,OW,20,1989,Bonds beach ,Exmouth,,I ,Female,Family,,,
455,,,,,,,445b5df5-3370-42e2-9f0a-e0aab5d2c44c,4eb04342-15ba-4231-a41b-5ef0ef2abdca,4/7/2021 2:06:33 AM,Harrison.Carmody_UWA,4/7/2021 2:06:33 AM,Harrison.Carmody_UWA,,Monthly,,Life,,,1978,Melville,BayView,,,Female,Family,,,
456,,,,,,,80da281a-ba00-4416-9864-1ce6e7f5a9bd,987cb6ed-fb94-457b-b040-9d7c01f7ea1f,4/7/2021 2:13:54 AM,Harrison.Carmody_UWA,4/7/2021 2:13:54 AM,Harrison.Carmody_UWA,,Fortnightly,,10,OW,12,1981,Perth,BayView,,,Female,Family,,,
457,,,,,,,e0e50023-6bdc-405f-8389-f206901abc35,c988960b-bf4c-413e-8e86-920c309a73f4,4/7/2021 2:21:56 AM,Harrison.Carmody_UWA,4/7/2021 2:21:56 AM,Harrison.Carmody_UWA,6,6,10,20,AOW,18,1978,Perth,BayView,,,Female,Friends,,,
458,,,,,,,65bfe888-84ac-4be6-88c4-5acf2a42e971,be867042-9b1b-42b1-bf49-319a25c13d42,4/7/2021 2:25:08 AM,Harrison.Carmody_UWA,4/7/2021 2:25:08 AM,Harrison.Carmody_UWA,6,6,10,20,,,1973,Perth,BayView,,,Female,Friends,,,
459,,,,,,,54b64601-6462-4376-bfc4-6e64969513bb,6ee1e0b2-0aed-4ae5-a3f5-fe803dd346ea,4/7/2021 2:31:32 AM,Harrison.Carmody_UWA,4/7/2021 2:31:32 AM,Harrison.Carmody_UWA,,45,,Life,,,1971,Perth,,,,Female,Families,,,
460,,,,,,,9a0f8c7c-bf6f-41a8-8ed3-5fea8b7e9160,ffef5c30-76fd-48f2-b74b-727754bed8d1,4/7/2021 2:33:48 AM,Harrison.Carmody_UWA,4/7/2021 2:33:48 AM,Harrison.Carmody_UWA,0,30,,8,,,1977,Perth,BayView,,,Female,Families,,,
461,,,,,,,c830652f-4f52-4b31-9cdb-7635c2e323fa,0a388a25-42cb-4bdd-818d-d2eb16ce50d0,4/7/2021 2:39:17 AM,Harrison.Carmody_UWA,4/7/2021 2:39:17 AM,Harrison.Carmody_UWA,Month,,,Life,,,1980,Perth,CoralBay,,,Female,Families,,,
462,,,,,,,498389d9-bac2-4516-9c44-0b2862a79d52,ed35c46a-eab3-4b71-a742-dd4fcdb0c2b9,4/7/2021 2:42:14 AM,Harrison.Carmody_UWA,4/7/2021 2:42:14 AM,Harrison.Carmody_UWA,,Monthly ,,Life,,,1984,Perth,CoralBay,,,Female,Families,,,
463,,,,,,,0606c28c-458d-45d7-a602-0f7ce788e73e,402a8344-6581-437f-8143-5850c3558459,4/7/2021 2:48:45 AM,Harrison.Carmody_UWA,4/7/2021 2:48:45 AM,Harrison.Carmody_UWA,4,30,26,Life,,,1995,Perth,CoralBay,,,Male,Couple,,,
464,,,,,,,a1a4a2bb-5a40-4def-958c-cc8df4d119f7,6b963f72-555a-4de7-9fe9-efcf0ffa5407,4/7/2021 2:51:01 AM,Harrison.Carmody_UWA,4/7/2021 2:51:01 AM,Harrison.Carmody_UWA,,30,,Life,,,1995,Perth,CoralBay,,,Female,Couple,,,
465,,,,,,,12467d38-fa80-4cb0-ab52-42a2ed1f561b,77f59487-63c1-4a9c-b309-460e3aeef79e,4/7/2021 2:58:56 AM,Harrison.Carmody_UWA,4/7/2021 2:58:56 AM,Harrison.Carmody_UWA,1,4,20,20,,,1971,Perth,CoralBay,,,Female,Family,,,
466,,,,,,,27be13ac-b619-44a5-8e8f-589be6f71c73,b8f3bb40-c712-442f-965d-fecbdff09e05,4/7/2021 3:05:10 AM,Harrison.Carmody_UWA,4/7/2021 3:05:10 AM,Harrison.Carmody_UWA,,Fortnightly,,Life,,,2002,Perth,CoralBay,,,Female,Friends,,,
467,,,,,,,0c3dda15-b0b0-482f-a8aa-e0131f3c0703,91ec1c16-c2cb-4e99-9eec-badbed8870a1,4/7/2021 3:10:27 AM,Harrison.Carmody_UWA,4/7/2021 3:10:27 AM,Harrison.Carmody_UWA,20,50,5,Life,,,1984,Darwin,CoralBay,Out in the cliffs,,Male,Family ,,,
468,,,,,,,5dfe948a-fb0b-4627-afcc-f3d23b23d919,2ba14c5f-f326-4cd2-82c6-38cf9b33bed6,4/7/2021 3:15:43 AM,Harrison.Carmody_UWA,4/7/2021 3:15:43 AM,Harrison.Carmody_UWA,Monthly,Fortnightly,Life,Life,DM,150,1979,Derby,,,,Male,Family ,,,
469,,,,,,,b25b1ae5-01b4-47a4-b4ab-798fccec446c,d658171b-bc21-4a59-9561-a2952094bd0a,4/7/2021 3:19:57 AM,Harrison.Carmody_UWA,4/7/2021 3:19:57 AM,Harrison.Carmody_UWA,,14,,2,,,1976,Perth,Exmouth,,,Female,Family,,,
470,,,,,,,7771a126-89ad-4530-b60b-052d6de4c87e,0e71d89a-b423-4106-a99e-ea4438cb1b14,4/7/2021 3:23:53 AM,Harrison.Carmody_UWA,4/7/2021 3:23:53 AM,Harrison.Carmody_UWA,,8,,Life,,,1985,Perth,Exmouth,,,Female,Families,,,
471,,,,,,,a1d71e23-b736-437b-a466-7d10b6081fe1,bc5f8304-3747-4fa8-9943-bd79b1ef02d4,4/7/2021 3:36:45 AM,Harrison.Carmody_UWA,4/7/2021 3:36:45 AM,Harrison.Carmody_UWA,,10,,12,,,1975,Perth,CoralBay,,,Female,Families,,,
472,,,,,,,9b4f00a7-f0d0-4768-bc51-ef51f25908b1,e3afa8f9-2751-4f11-92d4-de8d802ebc2c,4/7/2021 3:39:15 AM,Harrison.Carmody_UWA,4/7/2021 3:39:15 AM,Harrison.Carmody_UWA,,4 weekly,,18,AOW,17,1974,Pert,CoralBay,,,Female,Families,,,
473,,,,,,,2a3b5bbf-be13-44f7-b4c5-d32e69194ce8,ee58a670-7190-402a-869f-4c1da3c6e7a5,4/7/2021 3:44:56 AM,Harrison.Carmody_UWA,4/7/2021 3:44:56 AM,Harrison.Carmody_UWA,,"Month,y",,Life,,,198,Denmark,Exmouth,,,Male,Couple,,,
474,,,,,,,0eb05691-b738-437b-8e53-6ef692b268ae,1f8c8f49-a498-42a2-acb2-34bb82d87634,4/7/2021 3:47:08 AM,Harrison.Carmody_UWA,4/7/2021 3:47:08 AM,Harrison.Carmody_UWA,,Monthly,,Life,,,1962,Denmark,Exmouth,,,Female,Couple,,,
475,,,,,,,3700ed99-24a9-4a6f-a332-84eb3b510fc5,c832e854-03dd-4a2e-ad11-8c0282203290,4/7/2021 3:52:26 AM,Harrison.Carmody_UWA,4/7/2021 3:52:26 AM,Harrison.Carmody_UWA,,Weekly,,Life,,,1973,Perth,CoralBay,,,Male,Family,,,
476,,,,,,,60402593-c8a5-49b3-9353-4165ab184a1a,95f8f53d-e278-4eb4-aea5-839a05982ee4,4/7/2021 3:54:38 AM,Harrison.Carmody_UWA,4/7/2021 3:54:38 AM,Harrison.Carmody_UWA,,Weekly,,Life,,,1978,Perth,CoralBay,,,Female,Family,,,
477,,,,,,,276232a3-30a2-485c-a5ad-af23e791d813,64f67f33-f0db-48b0-86ca-1f6fcfd0967b,4/7/2021 4:00:50 AM,Harrison.Carmody_UWA,4/7/2021 4:00:50 AM,Harrison.Carmody_UWA,2,Weekly,Life,Life,,,1972,Perth,CoralBay,,,Male,Family friends,,,
478,,,,,,,b5560bdc-f71e-4411-8cb5-413a73d9c6bc,df4f518c-9491-4869-92a8-a60977f10bfe,4/7/2021 4:03:08 AM,Harrison.Carmody_UWA,4/7/2021 4:03:08 AM,Harrison.Carmody_UWA,2,Weekly,Life,Life,,,1973,Perth,,,,Female,Family friends,,,
479,,,,,,,fa9523c0-30bb-49fc-957d-3b386c0dc8a8,b67502c8-cd64-4337-8bae-76cf54955d6d,4/7/2021 4:05:08 AM,Harrison.Carmody_UWA,4/7/2021 4:05:08 AM,Harrison.Carmody_UWA,2,Weekly,Life,Life,,,1973,Perth,,,,Female,Family friends,,,
480,,,,,,,d6266bb0-0cdf-4d70-ad57-f3b0259d662a,63054eca-881d-481f-8c22-a7263ee56d3e,4/7/2021 4:12:42 AM,Harrison.Carmody_UWA,4/7/2021 4:12:42 AM,Harrison.Carmody_UWA,1,Weekly,"Life, rarely ",Life,,,1991,Perth,CoralBay,,,Female,Friends,,,
